uid,pair_id,side,text
p00000_A,00000,A,mr wilcox she s wanting howards end
p00001_A,00001,A,the younger can i do anything for you
p00002_A,00002,A,oh well really are you i
p00003_A,00003,A,you see we heard from helen this morning
p00004_A,00004,A,hi i say parcel parcel for howards end bring it out hi sign must i why the should i sign after all this bother not even got a pencil on you remember next time i report you to the station master my time s of value though yours mayn t be here
p00005_A,00005,A,don t let them know they are never to know
p00006_A,00006,A,they do not love any longer if you prefer it put that way
p00007_A,00007,A,i love you
p00008_A,00008,A,do you imply that we germans are stupid uncle ernst
p00009_A,00009,A,you girls are so wonderful in always having oh dear one mustn t talk
p00010_A,00010,A,now comes the wonderful movement first of all the goblins and then a trio of elephants dancing
p00011_A,00011,A,on the what dear
p00012_A,00012,A,on the drum aunt juley
p00013_A,00013,A,margaret is helen all right
p00014_A,00014,A,oh yes
p00015_A,00015,A,she is always going away in the middle of a programme
p00016_A,00016,A,the music has evidently moved her deeply
p00017_A,00017,A,excuse me but that lady has quite inadvertently taken my umbrella
p00018_A,00018,A,i shall miss the four serious songs if i do
p00019_A,00019,A,it isn t of any consequence
p00020_A,00020,A,but of course it is tibby tibby
p00021_A,00021,A,what what the pomp and circumstance will not be fine
p00022_A,00022,A,for my part i have heard the composition at stettin on two occasions it is dramatic a little
p00023_A,00023,A,we have this call to pay in finsbury circus it is true
p00024_A,00024,A,margaret margaret margaret fraulein mosebach has left her beautiful little bag behind her on the seat
p00025_A,00025,A,might i couldn t i
p00026_A,00026,A,oh i would be so grateful
p00027_A,00027,A,but surely you haven t forgotten the drum steadily beating on the low c aunt juley no one could it s unmistakable
p00028_A,00028,A,a specially loud part of course i do not go in for being musical i only care for music a very different thing but still i will say this for myself i do know when i like a thing and when i don t some people are the same about pictures they can go into a picture gallery miss conder can and say straight off what they feel all round the wall i never could do that but music is so different from pictures to my mind when it comes to music i am as safe as houses and i assure you tibby i am by no means pleased by everything there was a thing something about a faun in french which helen went into ecstasies over but i thought it most tinkling and superficial and said so and i held to my opinion too
p00029_A,00029,A,helen you must not be so ramshackly you took this gentleman s umbrella away from queen s hall and he has had the trouble of coming round for it
p00030_A,00030,A,oh i am so sorry i do nothing but steal umbrellas i am so very sorry do come in and choose one is yours a hooky or a nobbly mine s a nobbly at least i think it is
p00031_A,00031,A,don t you see that you ve frightened him away i meant him to stop to tea you oughtn t to talk about stealing or holes in an umbrella i saw his nice eyes getting so miserable no it s not a bit of good now
p00032_A,00032,A,i dare say it is all for the best we know nothing about the young man margaret and your drawing room is full of very tempting little things
p00033_A,00033,A,aunt juley how can you you make me more and more ashamed i d rather he had been a thief and taken all the apostle spoons than that i well i must shut the front door i suppose one more failure for helen
p00034_A,00034,A,yes i think the apostle spoons could have gone as rent you remember rent it was one of father s words rent to the ideal to his own faith in human nature you remember how he would trust strangers and if they fooled him he would say it s better to be fooled than to be suspicious that the confidence trick is the work of man but the want of confidence trick is the work of the devil
p00035_A,00035,A,why he might have stolen the little ricketts picture as well
p00036_A,00036,A,in a way i wish we had a real boy in the house the kind of boy who cares for men it would make entertaining so much easier
p00037_A,00037,A,why didn t you make that young man welcome tibby you must do the host a little you know you ought to have taken his hat and coaxed him into stopping instead of letting him be swamped by screaming women
p00038_A,00038,A,oh it s no good looking superior i mean what i say
p00039_A,00039,A,leave tibby alone
p00040_A,00040,A,here s the house a regular hen coop
p00041_A,00041,A,oh my dear how can you say such dreadful things the number of men you get here has always astonished me if there is any danger it s the other way round
p00042_A,00042,A,no i don t we get the right sort of man but the wrong side of him and i say that s tibby s fault there ought to be a something about the house an i don t know what
p00043_A,00043,A,a touch of the w s perhaps
p00044_A,00044,A,who are the w s
p00045_A,00045,A,the w s are things i and meg and aunt juley know about and you don t so there
p00046_A,00046,A,i suppose that ours is a female house and one must just accept it no aunt juley i don t mean that this house is full of women i am trying to say something much more clever i mean that it was irrevocably feminine even in father s time now i m sure you understand well i ll give you another example it ll shock you but i don t care suppose queen victoria gave a dinner party and that the guests had been leighton millais swinburne rossetti meredith fitzgerald etc do you suppose that the atmosphere of that dinner would have been artistic heavens no the very chairs on which they sat would have seen to that so with our house it must be feminine and all we can do is to see that it isn t effeminate just as another house that i can mention but won t sounded irrevocably masculine and all its inmates can do is to see that it isn t brutal
p00047_A,00047,A,that house being the w s house i presume
p00048_A,00048,A,good evening mr bast
p00049_A,00049,A,oh margaret such a most unfortunate thing has happened i could not get you alone coming up no doubt in the hope of getting into london society
p00050_A,00050,A,it is only that a certain family whom we know by name but do not mention as you said yourself last night after the concert have taken the flat opposite from the mathesons where the plants are in the balcony what helen you don t mind them coming do you
p00051_A,00051,A,well you look grave doesn t she frieda
p00052_A,00052,A,i don t feel grave that s all i can say you re going quite on the wrong tack
p00053_A,00053,A,no she does not feel grave i can bear witness to that she disagrees
p00054_A,00054,A,did you say the mathesons flat aunt juley how wonderful you are i never knew that the name of the woman who laced too tightly was matheson
p00055_A,00055,A,come helen
p00056_A,00056,A,go helen
p00057_A,00057,A,helen his mother has forgiven you
p00058_A,00058,A,bother the whole family helen stop giggling and pirouetting and go and finish your packing why can t the woman leave us alone
p00059_A,00059,A,i don t know what i shall do with meg she s got wilcox and box upon the brain meg meg i don t love the young gentleman i don t love the young gentleman meg meg can a body speak plainer
p00060_A,00060,A,most certainly her love has died
p00061_A,00061,A,if you are going to germany go and pack if you aren t go and call on the wilcoxes instead of me
p00062_A,00062,A,but meg meg i don t love the young gentleman i don t love the young o lud who s that coming down the stairs i vow tis my brother o crimini
p00063_A,00063,A,inexperience of course i have everything to learn absolutely everything just as much as helen life s very difficult and full of surprises at all events i ve got as far as that to be humble and kind to go straight ahead to love people rather than pity them to remember the submerged well one can t do all these things at once worse luck because they re so contradictory it s then that proportion comes in to live by proportion don t begin with proportion only prigs do that let proportion come in as a last resource when the better things have failed and a deadlock gracious me i ve started preaching
p00064_A,00064,A,indeed you put the difficulties of life splendidly it is just what i should have liked to say about them myself
p00065_A,00065,A,indeed that sounds like a most beautiful view miss schlegel
p00066_A,00066,A,yes yes the german is always on the lookout for beauty he may miss it through stupidity or misinterpret it but he is always asking beauty to enter his life and i believe that in the end it will come at heidelberg i met a fat veterinary surgeon whose voice broke with sobs as he repeated some mawkish poetry so easy for me to laugh i who never repeat poetry good or bad and cannot remember one fragment of verse to thrill myself with my blood boils well i m half german so put it down to patriotism when i listen to the tasteful contempt of the average islander for things teutonic whether they re bocklin or my veterinary surgeon oh bocklin they say he strains after beauty he peoples nature with gods too consciously of course bocklin strains because he wants something beauty and all the other intangible gifts that are floating about the world so his landscapes don t come off and leader s do
p00067_A,00067,A,i am not sure that i agree do you
p00068_A,00068,A,i have no side but my husband has very little faith in the continent and our children have all taken after him
p00069_A,00069,A,on what grounds do they feel that the continent is in bad form
p00070_A,00070,A,never mind us or her do say
p00071_A,00071,A,one admits that the arguments against the suffrage are extraordinarily strong
p00072_A,00072,A,we didn t mean the vote though did we aren t we differing on something much wider mrs wilcox whether women are to remain what they have been since the dawn of history or whether since men have moved forward so far they too may move forward a little now i say they may i would even admit a biological change
p00073_A,00073,A,i don t know i don t know
p00074_A,00074,A,i must be getting back to my overhanging warehouse they ve turned disgracefully strict
p00075_A,00075,A,my husband and our daughter are motoring
p00076_A,00076,A,bertha too oh fancy what a coincidence do you know i ll wait on second thoughts i ll wait there s plenty of time still isn t there and i shall be able to get evie s opinion
p00077_A,00077,A,later on i should love it but it s hardly the weather for such an expedition and we ought to start when we re fresh isn t the house shut up too might i come some other day
p00078_A,00078,A,back to wickham place please
p00079_A,00079,A,no motor smash changed plans father s coming
