uid,pair_id,side,text
p00000_A,00000,A,i can tell you nothing aunt juley i know no more than you do we met we only met the father and mother abroad last spring i know so little that i didn t even know their son s name it s all so
p00001_A,00001,A,who knows aunt juley who knows
p00002_A,00002,A,who knows
p00003_A,00003,A,i ll go for her other letters no i won t i ll finish my breakfast in fact i haven t them we met the wilcoxes on an awful expedition that we made from heidelberg to speyer helen and i had got it into our heads that there was a grand old cathedral at speyer the archbishop of speyer was one of the seven electors you know speyer maintz and koln those three sees once commanded the rhine valley and got it the name of priest street
p00004_A,00004,A,the train crossed by a bridge of boats and at first sight it looked quite fine but oh in five minutes we had seen the whole thing the cathedral had been ruined absolutely ruined by restoration not an inch left of the original structure we wasted a whole day and came across the wilcoxes as we were eating our sandwiches in the public gardens they too poor things had been taken in they were actually stopping at speyer and they rather liked helen s insisting that they must fly with us to heidelberg as a matter of fact they did come on next day we all took some drives together they knew us well enough to ask helen to come and see them at least i was asked too but tibby s illness prevented me so last monday she went alone that s all you know as much as i do now it s a young man out of the unknown she was to have come back saturday but put off till monday perhaps on account of i don t know
p00005_A,00005,A,exactly germans are too thorough
p00006_A,00006,A,oh yes aunt juley i am thinking all right about helen s letter i know i must go down and see her i am thinking about her all right i am meaning to go down
p00007_A,00007,A,i gathered nothing
p00008_A,00008,A,in that case i can make no plans don t you see
p00009_A,00009,A,i hate plans i hate lines of action helen isn t a baby
p00010_A,00010,A,aunt juley i must must go to howards end myself you don t exactly understand though i can never thank you properly for offering
p00011_A,00011,A,i shall ask no questions i have it in helen s writing that she and a man are in love there is no question to ask as long as she keeps to that all the rest isn t worth a straw a long engagement if you like but inquiries questions plans lines of action no aunt juley no if helen had written the same to me about a shop assistant or a penniless clerk
p00012_A,00012,A,or if she had wanted to marry the man who calls for carter paterson i should have said the same though in the case of carter paterson i should want it to be a very long engagement indeed i must say
p00013_A,00013,A,but you implied just now that the engagement must be broken off
p00014_A,00014,A,can you break an engagement off slowly what s an engagement made of do you suppose i think it s made of some hard stuff that may snap but can t break it is different to the other ties of life they stretch or bend they admit of degree they re different
p00015_A,00015,A,yes i have changed my mind i do wish that you would go you will remember aunt juley not to be drawn into discussing the engagement give my letter to helen and say whatever you feel yourself but do keep clear of the relatives we have scarcely got their names straight yet and besides that sort of thing is so uncivilised and wrong
p00016_A,00016,A,oh i used an affected word i only meant would you please talk the thing over only with helen
p00017_A,00017,A,because
p00018_A,00018,A,papa why will they not discuss this most clear question to me one of two things is very clear either god does not know his own mind about england and germany or else these do not know the mind of god
p00019_A,00019,A,yes i think the apostle spoons could have gone as rent you remember rent it was one of father s words rent to the ideal to his own faith in human nature you remember how he would trust strangers and if they fooled him he would say it s better to be fooled than to be suspicious that the confidence trick is the work of man but the want of confidence trick is the work of the devil
p00020_A,00020,A,oh but helen isn t a girl with no interests she has plenty of other things and other people to think about she made a false start with the wilcoxes and she ll be as willing as we are to have nothing more to do with them
p00021_A,00021,A,of course she must bow but look here let s do the flowers i was going to say the will to be interested in him has died and what else matters i look on that disastrous episode over which you were so kind as the killing of a nerve in helen it s dead and she ll never be troubled with it again the only things that matter are the things that interest one bowing even calling and leaving cards even a dinner party we can do all those things to the wilcoxes if they find it agreeable but the other thing the one important thing never again don t you see i also have the honour to inform you that the wilcoxes are bored with us i didn t tell you at the time it might have made you angry and you had enough to worry you but i wrote a letter to mrs w and apologised for the trouble that helen had given them she didn t answer it
p00022_A,00022,A,i wonder or was it sensible
p00023_A,00023,A,in either case one can class it as reassuring
p00024_A,00024,A,oh certainly fiendishly careful
p00025_A,00025,A,i don t feel grave that s all i can say you re going quite on the wrong tack
p00026_A,00026,A,oh hush frieda ll hear you and she can be so tiresome
p00027_A,00027,A,mr wilcox possibly
p00028_A,00028,A,it s a shame to call his face copper colour he has a remarkably good complexion for a man of his age helen did not take the news quite as i expected but the wilcox nerve is dead in her really so there s no need for plans
p00029_A,00029,A,no it s as well not to be prepared
p00030_A,00030,A,because because i d sooner risk it
p00031_A,00031,A,i hope to risk things all my life
p00032_A,00032,A,but after all there s never any great risk as long as you have money
p00033_A,00033,A,money pads the edges of things god help those who have none
p00034_A,00034,A,new for me sensible people have acknowledged it for years you and i and the wilcoxes stand upon money as upon islands it is so firm beneath our feet that we forget its very existence it s only when we see some one near us tottering that we realise all that an independent income means last night when we were talking up here round the fire i began to think that the very soul of the world is economic and that the lowest abyss is not the absence of love but the absence of coin
p00035_A,00035,A,so do i but helen and i we ought to remember when we are tempted to criticise others that we are standing on these islands and that most of the others are down below the surface of the sea the poor cannot always reach those whom they want to love and they can hardly ever escape from those whom they love no longer we rich can imagine the tragedy last june if helen and paul wilcox had been poor people and couldn t invoke railways and motor cars to part them
p00036_A,00036,A,call it what you like i call it going through life with one s hand spread open on the table i m tired of these rich people who pretend to be poor and think it shows a nice mind to ignore the piles of money that keep their feet above the waves i stand each year upon six hundred pounds and helen upon the same and tibby will stand upon eight and as fast as our pounds crumble away into the sea they are renewed from the sea yes from the sea and all our thoughts are the thoughts of six hundred pounders and all our speeches and because we don t want to steal umbrellas ourselves we forget that below the sea people do want to steal them and do steal them sometimes and that what s a joke up here is down there reality
p00037_A,00037,A,what is it
p00038_A,00038,A,why shouldn t she
p00039_A,00039,A,i had worked round to myself as usual
p00040_A,00040,A,too difficult ask me another am i for poverty or for riches for riches hurrah for riches
p00041_A,00041,A,yes for riches money for ever
p00042_A,00042,A,thank you so much aunt juley while i have talked theories you have done the flowers
p00043_A,00043,A,well would you be very kind would you come round with me to the registry office there s a housemaid who won t say yes but doesn t say no
p00044_A,00044,A,shan t i go up to town to day take the house if it s the least possible and then come down by the afternoon train to morrow and start enjoying myself i shall be no fun to myself or to others until this business is off my mind
p00045_A,00045,A,i was thinking of father how could he settle to leave germany as he did when he had fought for it as a young man and all his feelings and friends were prussian how could he break loose with patriotism and begin aiming at something else it would have killed me when he was nearly forty he could change countries and ideals and we at our age can t change houses it s humiliating
