A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Margaret,Aunt Juley,0,1822,i can tell you nothing aunt juley i know no more than you do we met we only met the father and mother abroad last spring i know so little that i didn t even know their son s name it s all so,can he spare you margaret important i should like you to have some companion to take walks with do try miss conder,Aunt Juley,F,major,F,major
Margaret,Aunt Juley,2,325,who knows aunt juley who knows,that s more like socialism,Aunt Juley,F,major,F,major
Margaret,Aunt Juley,4,315,who knows,but imagine the evenings turn the electric light on here or there and it s almost the same room one evening they may forget to draw their blinds down and you ll see them and the next you yours and they ll see you impossible to sit out on the balconies impossible to water the plants or even speak imagine going out of the front door and they come out opposite at the same moment and yet you tell me that plans are unnecessary and you d rather risk it,Aunt Juley,F,major,F,major
Margaret,Aunt Juley,6,291,i ll go for her other letters no i won t i ll finish my breakfast in fact i haven t them we met the wilcoxes on an awful expedition that we made from heidelberg to speyer helen and i had got it into our heads that there was a grand old cathedral at speyer the archbishop of speyer was one of the seven electors you know speyer maintz and koln those three sees once commanded the rhine valley and got it the name of priest street,and helen must be careful too,Aunt Juley,F,major,F,major
Margaret,Aunt Juley,8,132,the train crossed by a bridge of boats and at first sight it looked quite fine but oh in five minutes we had seen the whole thing the cathedral had been ruined absolutely ruined by restoration not an inch left of the original structure we wasted a whole day and came across the wilcoxes as we were eating our sandwiches in the public gardens they too poor things had been taken in they were actually stopping at speyer and they rather liked helen s insisting that they must fly with us to heidelberg as a matter of fact they did come on next day we all took some drives together they knew us well enough to ask helen to come and see them at least i was asked too but tibby s illness prevented me so last monday she went alone that s all you know as much as i do now it s a young man out of the unknown she was to have come back saturday but put off till monday perhaps on account of i don t know,whom is margaret talking to would it be some young man or other whom she takes an interest in,Aunt Juley,F,major,F,major
Margaret,Aunt Juley,10,23,exactly germans are too thorough,dear margaret do come into the library and shut the door your good maids are dusting the banisters,Aunt Juley,F,major,F,major
Margaret,Aunt Juley,12,285,oh yes aunt juley i am thinking all right about helen s letter i know i must go down and see her i am thinking about her all right i am meaning to go down,how very rude,Aunt Juley,F,major,F,major
Margaret,Aunt Juley,14,27,i gathered nothing,i think probably it must but slowly,Aunt Juley,F,major,F,major
Margaret,Aunt Juley,16,341,in that case i can make no plans don t you see,staring most rudely,Aunt Juley,F,major,F,major
Margaret,Aunt Juley,18,1,i hate plans i hate lines of action helen isn t a baby,in that case it is far too sudden,Aunt Juley,F,major,F,major
Margaret,Aunt Juley,20,11,aunt juley i must must go to howards end myself you don t exactly understand though i can never thank you properly for offering,of course i regard you schlegels as english english to the backbone and that reminds me helen s letter,Aunt Juley,F,major,F,major
Margaret,Aunt Juley,22,21,i shall ask no questions i have it in helen s writing that she and a man are in love there is no question to ask as long as she keeps to that all the rest isn t worth a straw a long engagement if you like but inquiries questions plans lines of action no aunt juley no if helen had written the same to me about a shop assistant or a penniless clerk,i do understand i go down in no spirit of interference but to make inquiries inquiries are necessary now i am going to be rude you would say the wrong thing to a certainty you would in your anxiety for helen s happiness you would offend the whole of these wilcoxes by asking one of your impetuous questions not that one minds offending them,Aunt Juley,F,major,F,major
Margaret,Aunt Juley,24,327,or if she had wanted to marry the man who calls for carter paterson i should have said the same though in the case of carter paterson i should want it to be a very long engagement indeed i must say,there they go there goes fraulein mosebach really for a german she does dress charmingly oh,Aunt Juley,F,major,F,major
Margaret,Aunt Juley,26,17,but you implied just now that the engagement must be broken off,on the contrary,Aunt Juley,F,major,F,major
Margaret,Aunt Juley,28,25,can you break an engagement off slowly what s an engagement made of do you suppose i think it s made of some hard stuff that may snap but can t break it is different to the other ties of life they stretch or bend they admit of degree they re different,i should think so and indeed i can scarcely follow you now just imagine if you said anything of that sort to the wilcoxes i understand it but most good people would think you mad imagine how disconcerting for helen what is wanted is a person who will go slowly slowly in this business and see how things are and where they are likely to lead to,Aunt Juley,F,major,F,major
