a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Caroline Abbott,Harriet,auxiliary_verbs,3,3,2,0.6666666666666666,0.6666666666666666,0.0,F,major,F,major
Caroline Abbott,Harriet,conjunctions,3,3,2,0.6666666666666666,0.6666666666666666,0.0,F,major,F,major
Caroline Abbott,Harriet,impersonal_pronouns,3,3,2,0.6666666666666666,0.6666666666666666,0.0,F,major,F,major
Caroline Abbott,Harriet,personal_pronouns,3,3,2,0.6666666666666666,0.6666666666666666,0.0,F,major,F,major
Caroline Abbott,Harriet,prepositions,3,3,2,0.6666666666666666,0.6666666666666666,0.0,F,major,F,major
Caroline Abbott,Mr. Herriton,adverbs,122,85,46,0.5411764705882353,0.5409836065573771,0.00019286403085816417,F,major,M,major
Caroline Abbott,Mr. Herriton,articles,122,54,30,0.5555555555555556,0.4672131147540984,0.0883424408014572,F,major,M,major
Caroline Abbott,Mr. Herriton,auxiliary_verbs,122,93,66,0.7096774193548387,0.7049180327868853,0.004759386567953494,F,major,M,major
Caroline Abbott,Mr. Herriton,conjunctions,122,65,35,0.5384615384615384,0.5327868852459017,0.00567465321563676,F,major,M,major
Caroline Abbott,Mr. Herriton,impersonal_pronouns,122,73,49,0.6712328767123288,0.6065573770491803,0.06467549966314845,F,major,M,major
Caroline Abbott,Mr. Herriton,negations,122,50,18,0.36,0.2540983606557377,0.10590163934426228,F,major,M,major
Caroline Abbott,Mr. Herriton,personal_pronouns,122,102,84,0.8235294117647058,0.819672131147541,0.0038572806171648377,F,major,M,major
Caroline Abbott,Mr. Herriton,prepositions,122,79,56,0.7088607594936709,0.7131147540983607,-0.004253994604689781,F,major,M,major
Caroline Abbott,Mr. Herriton,quantifiers,122,54,22,0.4074074074074074,0.4180327868852459,-0.010625379477838537,F,major,M,major
Caroline Abbott,Mrs. Herriton,auxiliary_verbs,4,4,3,0.75,0.75,0.0,F,major,F,intermediate
Caroline Abbott,Mrs. Herriton,personal_pronouns,4,4,3,0.75,0.75,0.0,F,major,F,intermediate
Caroline Abbott,Mrs. Herriton,prepositions,4,4,4,1.0,1.0,0.0,F,major,F,intermediate
Caroline Abbott,Signor Carella,adverbs,35,15,12,0.8,0.7142857142857143,0.08571428571428574,F,major,M,major
Caroline Abbott,Signor Carella,articles,35,10,6,0.6,0.42857142857142855,0.17142857142857143,F,major,M,major
Caroline Abbott,Signor Carella,auxiliary_verbs,35,27,17,0.6296296296296297,0.6857142857142857,-0.05608465608465607,F,major,M,major
Caroline Abbott,Signor Carella,conjunctions,35,15,8,0.5333333333333333,0.6285714285714286,-0.09523809523809523,F,major,M,major
Caroline Abbott,Signor Carella,impersonal_pronouns,35,13,7,0.5384615384615384,0.45714285714285713,0.08131868131868131,F,major,M,major
Caroline Abbott,Signor Carella,negations,35,13,4,0.3076923076923077,0.42857142857142855,-0.12087912087912084,F,major,M,major
Caroline Abbott,Signor Carella,personal_pronouns,35,26,19,0.7307692307692307,0.7142857142857143,0.016483516483516425,F,major,M,major
Caroline Abbott,Signor Carella,prepositions,35,18,8,0.4444444444444444,0.6,-0.15555555555555556,F,major,M,major
Caroline Abbott,Signor Carella,quantifiers,35,11,6,0.5454545454545454,0.4,0.1454545454545454,F,major,M,major
Harriet,Caroline Abbott,articles,5,5,3,0.6,0.6,0.0,F,major,F,major
Harriet,Caroline Abbott,conjunctions,5,4,3,0.75,0.8,-0.050000000000000044,F,major,F,major
Harriet,Caroline Abbott,personal_pronouns,5,4,4,1.0,1.0,0.0,F,major,F,major
Harriet,Caroline Abbott,prepositions,5,5,4,0.8,0.8,0.0,F,major,F,major
Harriet,Mr. Herriton,adverbs,64,33,19,0.5757575757575758,0.578125,-0.0023674242424241987,F,major,M,major
