a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Caroline Abbott,Harriet,adverbs,2,2,1,0.5,0.5,0.0,F,major,F,major
Caroline Abbott,Harriet,prepositions,2,2,2,1.0,1.0,0.0,F,major,F,major
Caroline Abbott,Lilia,articles,2,2,1,0.5,0.5,0.0,F,major,F,intermediate
Caroline Abbott,Lilia,auxiliary_verbs,2,2,1,0.5,0.5,0.0,F,major,F,intermediate
Caroline Abbott,Lilia,conjunctions,2,2,1,0.5,0.5,0.0,F,major,F,intermediate
Caroline Abbott,Lilia,negations,2,2,0,0.0,0.0,0.0,F,major,F,intermediate
Caroline Abbott,Lilia,personal_pronouns,2,2,1,0.5,0.5,0.0,F,major,F,intermediate
Caroline Abbott,Mr. Herriton,adverbs,5,2,1,0.5,0.4,0.09999999999999998,F,major,M,major
Caroline Abbott,Mr. Herriton,auxiliary_verbs,5,4,3,0.75,0.6,0.15000000000000002,F,major,M,major
Caroline Abbott,Mr. Herriton,conjunctions,5,2,2,1.0,0.6,0.4,F,major,M,major
Caroline Abbott,Mr. Herriton,impersonal_pronouns,5,4,4,1.0,1.0,0.0,F,major,M,major
Caroline Abbott,Mr. Herriton,personal_pronouns,5,4,4,1.0,0.8,0.19999999999999996,F,major,M,major
Caroline Abbott,Mr. Herriton,prepositions,5,4,3,0.75,0.6,0.15000000000000002,F,major,M,major
Caroline Abbott,Mr. Herriton,quantifiers,5,3,2,0.6666666666666666,0.6,0.06666666666666665,F,major,M,major
Caroline Abbott,Mrs. Herriton,personal_pronouns,2,2,2,1.0,1.0,0.0,F,major,F,intermediate
Caroline Abbott,Mrs. Herriton,prepositions,2,2,2,1.0,1.0,0.0,F,major,F,intermediate
Caroline Abbott,Signor Carella,adverbs,3,2,0,0.0,0.3333333333333333,-0.3333333333333333,F,major,M,major
Caroline Abbott,Signor Carella,articles,3,2,2,1.0,0.6666666666666666,0.33333333333333337,F,major,M,major
Caroline Abbott,Signor Carella,auxiliary_verbs,3,2,1,0.5,0.3333333333333333,0.16666666666666669,F,major,M,major
Caroline Abbott,Signor Carella,conjunctions,3,2,1,0.5,0.3333333333333333,0.16666666666666669,F,major,M,major
Caroline Abbott,Signor Carella,impersonal_pronouns,3,2,1,0.5,0.3333333333333333,0.16666666666666669,F,major,M,major
Caroline Abbott,Signor Carella,personal_pronouns,3,2,2,1.0,0.6666666666666666,0.33333333333333337,F,major,M,major
Caroline Abbott,Signor Carella,prepositions,3,2,2,1.0,1.0,0.0,F,major,M,major
Harriet,Caroline Abbott,articles,2,2,2,1.0,1.0,0.0,F,major,F,major
Harriet,Caroline Abbott,personal_pronouns,2,2,2,1.0,1.0,0.0,F,major,F,major
Harriet,Caroline Abbott,prepositions,2,2,2,1.0,1.0,0.0,F,major,F,major
Harriet,Mr. Herriton,adverbs,8,5,2,0.4,0.375,0.025000000000000022,F,major,M,major
Harriet,Mr. Herriton,articles,8,5,3,0.6,0.625,-0.025000000000000022,F,major,M,major
Harriet,Mr. Herriton,auxiliary_verbs,8,2,1,0.5,0.5,0.0,F,major,M,major
Harriet,Mr. Herriton,conjunctions,8,4,2,0.5,0.25,0.25,F,major,M,major
Harriet,Mr. Herriton,impersonal_pronouns,8,3,2,0.6666666666666666,0.5,0.16666666666666663,F,major,M,major
Harriet,Mr. Herriton,negations,8,3,1,0.3333333333333333,0.125,0.20833333333333331,F,major,M,major
Harriet,Mr. Herriton,personal_pronouns,8,5,3,0.6,0.625,-0.025000000000000022,F,major,M,major
Harriet,Mr. Herriton,prepositions,8,6,4,0.6666666666666666,0.625,0.04166666666666663,F,major,M,major
Harriet,Mr. Herriton,quantifiers,8,3,2,0.6666666666666666,0.5,0.16666666666666663,F,major,M,major
Harriet,Mrs. Herriton,adverbs,4,3,2,0.6666666666666666,0.75,-0.08333333333333337,F,major,F,intermediate
Harriet,Mrs. Herriton,articles,4,4,2,0.5,0.5,0.0,F,major,F,intermediate
Harriet,Mrs. Herriton,auxiliary_verbs,4,4,3,0.75,0.75,0.0,F,major,F,intermediate
Harriet,Mrs. Herriton,conjunctions,4,2,1,0.5,0.75,-0.25,F,major,F,intermediate
Harriet,Mrs. Herriton,impersonal_pronouns,4,4,2,0.5,0.5,0.0,F,major,F,intermediate
Harriet,Mrs. Herriton,negations,4,2,2,1.0,1.0,0.0,F,major,F,intermediate
Harriet,Mrs. Herriton,personal_pronouns,4,4,3,0.75,0.75,0.0,F,major,F,intermediate
Harriet,Mrs. Herriton,prepositions,4,4,4,1.0,1.0,0.0,F,major,F,intermediate
Harriet,Mrs. Herriton,quantifiers,4,2,1,0.5,0.25,0.25,F,major,F,intermediate
Lilia,Mr. Herriton,auxiliary_verbs,2,2,2,1.0,1.0,0.0,F,intermediate,M,major
Lilia,Signor Carella,adverbs,6,4,2,0.5,0.5,0.0,F,intermediate,M,major
Lilia,Signor Carella,articles,6,4,1,0.25,0.3333333333333333,-0.08333333333333331,F,intermediate,M,major
Lilia,Signor Carella,auxiliary_verbs,6,4,4,1.0,0.6666666666666666,0.33333333333333337,F,intermediate,M,major
Lilia,Signor Carella,conjunctions,6,3,3,1.0,0.5,0.5,F,intermediate,M,major
Lilia,Signor Carella,impersonal_pronouns,6,3,1,0.3333333333333333,0.3333333333333333,0.0,F,intermediate,M,major
Lilia,Signor Carella,negations,6,2,2,1.0,0.8333333333333334,0.16666666666666663,F,intermediate,M,major
Lilia,Signor Carella,personal_pronouns,6,4,4,1.0,0.6666666666666666,0.33333333333333337,F,intermediate,M,major
Lilia,Signor Carella,prepositions,6,4,3,0.75,0.6666666666666666,0.08333333333333337,F,intermediate,M,major
Lilia,Signor Carella,quantifiers,6,2,1,0.5,0.3333333333333333,0.16666666666666669,F,intermediate,M,major
Little Girl,Mr. Herriton,personal_pronouns,3,2,2,1.0,1.0,0.0,F,minor,M,major
Little Girl,Mr. Herriton,prepositions,3,2,2,1.0,1.0,0.0,F,minor,M,major
Mr. Herriton,Caroline Abbott,adverbs,6,3,3,1.0,0.8333333333333334,0.16666666666666663,M,major,F,major
Mr. Herriton,Caroline Abbott,articles,6,4,2,0.5,0.3333333333333333,0.16666666666666669,M,major,F,major
Mr. Herriton,Caroline Abbott,auxiliary_verbs,6,4,4,1.0,0.8333333333333334,0.16666666666666663,M,major,F,major
Mr. Herriton,Caroline Abbott,impersonal_pronouns,6,4,3,0.75,0.6666666666666666,0.08333333333333337,M,major,F,major
Mr. Herriton,Caroline Abbott,negations,6,2,1,0.5,0.16666666666666666,0.33333333333333337,M,major,F,major
Mr. Herriton,Caroline Abbott,personal_pronouns,6,4,4,1.0,0.8333333333333334,0.16666666666666663,M,major,F,major
Mr. Herriton,Caroline Abbott,prepositions,6,4,4,1.0,0.8333333333333334,0.16666666666666663,M,major,F,major
Mr. Herriton,Caroline Abbott,quantifiers,6,2,1,0.5,0.16666666666666666,0.33333333333333337,M,major,F,major
Mr. Herriton,Harriet,adverbs,3,2,1,0.5,0.3333333333333333,0.16666666666666669,M,major,F,major
Mr. Herriton,Harriet,auxiliary_verbs,3,2,1,0.5,0.3333333333333333,0.16666666666666669,M,major,F,major
Mr. Herriton,Harriet,personal_pronouns,3,3,2,0.6666666666666666,0.6666666666666666,0.0,M,major,F,major
Mr. Herriton,Harriet,prepositions,3,2,1,0.5,0.6666666666666666,-0.16666666666666663,M,major,F,major
Mr. Herriton,Harriet,quantifiers,3,2,1,0.5,0.6666666666666666,-0.16666666666666663,M,major,F,major
Mr. Herriton,Lilia,adverbs,2,2,1,0.5,0.5,0.0,M,major,F,intermediate
Mr. Herriton,Lilia,articles,2,2,1,0.5,0.5,0.0,M,major,F,intermediate
Mr. Herriton,Lilia,auxiliary_verbs,2,2,1,0.5,0.5,0.0,M,major,F,intermediate
Mr. Herriton,Lilia,conjunctions,2,2,1,0.5,0.5,0.0,M,major,F,intermediate
Mr. Herriton,Lilia,personal_pronouns,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Mr. Herriton,Lilia,prepositions,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Mr. Herriton,Little Girl,personal_pronouns,2,2,1,0.5,0.5,0.0,M,major,F,minor
Mr. Herriton,Little Girl,prepositions,2,2,2,1.0,1.0,0.0,M,major,F,minor
Mr. Herriton,Mrs. Herriton,adverbs,6,3,2,0.6666666666666666,0.6666666666666666,0.0,M,major,F,intermediate
Mr. Herriton,Mrs. Herriton,articles,6,2,1,0.5,0.8333333333333334,-0.33333333333333337,M,major,F,intermediate
Mr. Herriton,Mrs. Herriton,auxiliary_verbs,6,5,5,1.0,1.0,0.0,M,major,F,intermediate
Mr. Herriton,Mrs. Herriton,conjunctions,6,3,2,0.6666666666666666,0.6666666666666666,0.0,M,major,F,intermediate
Mr. Herriton,Mrs. Herriton,impersonal_pronouns,6,3,3,1.0,0.8333333333333334,0.16666666666666663,M,major,F,intermediate
Mr. Herriton,Mrs. Herriton,personal_pronouns,6,5,5,1.0,1.0,0.0,M,major,F,intermediate
Mr. Herriton,Mrs. Herriton,prepositions,6,5,5,1.0,1.0,0.0,M,major,F,intermediate
Mr. Herriton,Mrs. Herriton,quantifiers,6,2,0,0.0,0.5,-0.5,M,major,F,intermediate
Mr. Herriton,Signor Carella,auxiliary_verbs,4,2,1,0.5,0.5,0.0,M,major,M,major
Mr. Herriton,Signor Carella,impersonal_pronouns,4,2,0,0.0,0.25,-0.25,M,major,M,major
Mr. Herriton,Signor Carella,personal_pronouns,4,2,1,0.5,0.75,-0.25,M,major,M,major
Mrs. Herriton,Harriet,adverbs,4,2,1,0.5,0.5,0.0,F,intermediate,F,major
Mrs. Herriton,Harriet,auxiliary_verbs,4,2,1,0.5,0.5,0.0,F,intermediate,F,major
Mrs. Herriton,Harriet,impersonal_pronouns,4,2,1,0.5,0.5,0.0,F,intermediate,F,major
Mrs. Herriton,Harriet,personal_pronouns,4,3,3,1.0,0.75,0.25,F,intermediate,F,major
Mrs. Herriton,Harriet,prepositions,4,4,2,0.5,0.5,0.0,F,intermediate,F,major
Mrs. Herriton,Mr. Herriton,adverbs,9,7,4,0.5714285714285714,0.5555555555555556,0.015873015873015817,F,intermediate,M,major
Mrs. Herriton,Mr. Herriton,articles,9,4,3,0.75,0.6666666666666666,0.08333333333333337,F,intermediate,M,major
Mrs. Herriton,Mr. Herriton,auxiliary_verbs,9,9,7,0.7777777777777778,0.7777777777777778,0.0,F,intermediate,M,major
Mrs. Herriton,Mr. Herriton,conjunctions,9,6,0,0.0,0.1111111111111111,-0.1111111111111111,F,intermediate,M,major
