a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Caroline Abbott,Harriet,1,3,3,0.0,0.0,F,major,F,major
Caroline Abbott,Mr. Herriton,9,122,602,0.012676521136064897,0.012335929415609171,F,major,M,major
Caroline Abbott,Mrs. Herriton,3,4,10,0.055555555555555546,0.04999999999999999,F,major,F,intermediate
Caroline Abbott,Signor Carella,9,35,165,-0.025738175080280343,-0.027359307359307354,F,major,M,major
Harriet,Caroline Abbott,2,5,9,-0.025000000000000022,-0.02222222222222224,F,major,F,major
Harriet,Mr. Herriton,9,64,295,-0.001477869170521494,-0.002436440677966091,F,major,M,major
Harriet,Mrs. Herriton,8,11,40,-0.008306277056277053,-0.02727272727272727,F,major,F,intermediate
Irma,Mrs. Herriton,3,3,9,0.0,0.0,F,minor,F,intermediate
Lilia,Mr. Herriton,9,12,60,-0.08655603655603657,-0.05416666666666668,F,intermediate,M,major
Lilia,Signor Carella,8,15,58,-0.053472222222222206,-0.03448275862068963,F,intermediate,M,major
Mr. Herriton,Caroline Abbott,9,116,538,-0.027821158694859818,-0.01829893603384184,M,major,F,major
Mr. Herriton,Harriet,9,62,276,0.054009217229371485,0.04587424029920527,M,major,F,major
Mr. Herriton,Lilia,8,10,54,-0.026140873015873034,-0.018518518518518535,M,major,F,intermediate
Mr. Herriton,Little Girl,3,3,9,0.0,0.0,M,major,F,minor
Mr. Herriton,Mrs. Herriton,9,44,236,0.05497800129379073,0.04429892141756545,M,major,F,intermediate
Mr. Herriton,Signor Carella,9,11,56,-0.06651034151034152,-0.07629870129870131,M,major,M,major
Mrs. Herriton,Caroline Abbott,8,6,36,-0.12291666666666665,-0.10648148148148147,F,intermediate,F,major
Mrs. Herriton,Harriet,9,12,71,0.0451899951899952,0.04577464788732395,F,intermediate,F,major
Mrs. Herriton,Mr. Herriton,9,41,210,-0.02154128523619233,-0.020673635307781654,F,intermediate,M,major
Signor Carella,Caroline Abbott,9,35,148,0.03286266650604218,0.02644787644787644,M,major,F,major
Signor Carella,Lilia,9,18,55,0.05435305435305435,0.06767676767676768,M,major,F,intermediate
Signor Carella,Mr. Herriton,9,14,82,-0.024700608033941366,-0.024390243902439025,M,major,M,major
Signor Carella,Spiridione,9,17,96,-0.02718523306758604,-0.01531862745098043,M,major,M,intermediate
Spiridione,Signor Carella,9,18,94,-0.055934343434343434,-0.05851063829787233,M,intermediate,M,major
The Landlady,Mr. Herriton,1,4,3,0.0,0.0,F,minor,M,major
