family,gender,mean_conv
adverbs,F,0.014191362146599976
adverbs,M,-0.002490262775105406
articles,F,0.05132309161472497
articles,M,0.06117805861179926
auxiliary_verbs,F,-0.020008128321227097
auxiliary_verbs,M,-0.0120586560105998
conjunctions,F,-0.051603721394408573
conjunctions,M,0.04626190807477061
impersonal_pronouns,F,0.07387058593721244
impersonal_pronouns,M,-0.016197624650644345
negations,F,0.049905042467499106
negations,M,0.034966337257554075
personal_pronouns,F,0.0013829733436674886
personal_pronouns,M,0.00012185715681706233
prepositions,F,0.006677621162839713
prepositions,M,-0.0034217520354193824
quantifiers,F,0.06602539371456803
quantifiers,M,-0.007037343032402893
