family,gender,mean_conv
adverbs,F,0.09158730158730156
adverbs,M,0.033333333333333326
articles,F,-0.04603174603174605
articles,M,-0.08333333333333331
auxiliary_verbs,F,0.02222222222222221
auxiliary_verbs,M,-5.551115123125783e-17
conjunctions,F,-0.0376984126984127
conjunctions,M,-0.058333333333333376
impersonal_pronouns,F,0.14285714285714285
personal_pronouns,F,-0.04563492063492064
personal_pronouns,M,-0.02777777777777779
prepositions,F,0.05603174603174601
prepositions,M,0.22499999999999998
quantifiers,F,0.1761904761904762
quantifiers,M,0.0
