family,gender,mean_conv
adverbs,F,0.08054346164273163
adverbs,M,0.014079404873760299
articles,F,-0.013668162639856577
articles,M,0.040549216677558925
auxiliary_verbs,F,-0.028392581807260377
auxiliary_verbs,M,-0.0248765132727981
conjunctions,F,-0.022425623186535182
conjunctions,M,0.02607780253845209
impersonal_pronouns,F,-0.0949690474716959
impersonal_pronouns,M,0.14172551733913963
negations,F,-0.029384799353839603
negations,M,0.03518720527838174
personal_pronouns,F,-0.020762862664452025
personal_pronouns,M,-0.03895798524211232
prepositions,F,-0.028907963400324418
prepositions,M,0.006611748930207333
quantifiers,F,-0.0848760604720357
quantifiers,M,0.04636853865089159
