family,gender,mean_conv
adverbs,F,0.0006485982079233824
adverbs,M,0.009698224769703528
articles,F,0.028529726551702505
articles,M,0.08397142367482173
auxiliary_verbs,F,-0.0037393540516322777
auxiliary_verbs,M,-0.03128538923830277
conjunctions,F,-0.04355092614982832
conjunctions,M,0.03820911283019036
impersonal_pronouns,F,-0.0007362886010730096
impersonal_pronouns,M,0.05840924988764111
negations,F,-0.021295456953132143
negations,M,0.09825567007589296
personal_pronouns,F,0.005343212936142807
personal_pronouns,M,-0.004558425997926496
prepositions,F,0.015989381415825787
prepositions,M,-0.014426559607130197
quantifiers,F,-0.020815530850490323
quantifiers,M,0.05486713048599523
