family,gender,mean_conv
adverbs,F,0.03333333333333331
adverbs,M,0.02910052910052909
articles,F,0.09999999999999999
articles,M,0.011904761904761918
auxiliary_verbs,F,0.04166666666666666
auxiliary_verbs,M,0.12083333333333335
conjunctions,F,0.0
conjunctions,M,0.15079365079365079
impersonal_pronouns,F,0.09583333333333333
impersonal_pronouns,M,0.044444444444444474
negations,F,-0.2
negations,M,0.09523809523809523
personal_pronouns,F,0.07333333333333332
personal_pronouns,M,0.09158730158730158
prepositions,F,0.059999999999999984
prepositions,M,0.03158730158730159
quantifiers,M,0.12804232804232804
