family,gender,mean_conv
adverbs,F,0.062456614927381485
adverbs,M,0.02972554826452626
articles,F,0.012660251046805678
articles,M,0.007040326530897877
auxiliary_verbs,F,-0.01989473957856311
auxiliary_verbs,M,-0.034839480715199427
conjunctions,F,-0.03653580379799412
conjunctions,M,0.04531895791771428
impersonal_pronouns,F,-0.010834981156962584
impersonal_pronouns,M,0.028425211831172782
negations,F,-0.06736238670552397
negations,M,0.06936703389489765
personal_pronouns,F,-0.03205355513734956
personal_pronouns,M,-0.025061748352392277
prepositions,F,-0.024811055956289237
prepositions,M,-0.0008477375306433948
quantifiers,F,-0.006131831329692288
quantifiers,M,-0.04430701768444522
