family,importance,mean_conv
adverbs,intermediate,0.024083459449313106
adverbs,major,-0.03665793150061889
articles,intermediate,0.02369257323525616
articles,major,0.03144925281693863
articles,minor,0.08333333333333331
auxiliary_verbs,intermediate,0.030240928703282866
auxiliary_verbs,major,0.01732604581006224
auxiliary_verbs,minor,0.04166666666666666
conjunctions,intermediate,0.038349963045085
conjunctions,major,-0.006512997614703002
impersonal_pronouns,intermediate,0.005853981158859198
impersonal_pronouns,major,0.03394592402030371
impersonal_pronouns,minor,0.08333333333333331
negations,intermediate,0.03806136275648471
negations,major,0.017436805583300997
personal_pronouns,intermediate,-0.0003028853817949965
personal_pronouns,major,-0.00095043767944894
personal_pronouns,minor,0.16666666666666663
prepositions,intermediate,0.021371819237672913
prepositions,major,-0.0014575149991832809
quantifiers,intermediate,-0.05702039651975467
quantifiers,major,0.026605269200296346
