family,importance,mean_conv
adverbs,intermediate,0.06944444444444445
adverbs,major,0.07714285714285711
articles,intermediate,0.055555555555555525
articles,major,-0.1261904761904762
auxiliary_verbs,intermediate,0.05291005291005291
auxiliary_verbs,major,-0.011904761904761946
conjunctions,intermediate,0.009259259259259245
conjunctions,major,-0.09841269841269844
impersonal_pronouns,intermediate,0.17857142857142855
impersonal_pronouns,major,0.10714285714285715
personal_pronouns,intermediate,-0.02777777777777779
personal_pronouns,major,-0.04563492063492064
prepositions,intermediate,0.09722222222222221
prepositions,major,0.10714285714285712
quantifiers,intermediate,0.06666666666666671
quantifiers,major,0.14285714285714285
