family,importance,mean_conv
adverbs,intermediate,-0.07210177657332129
adverbs,major,0.043658781499489194
adverbs,minor,0.0
articles,intermediate,-0.1184281842818428
articles,major,-0.015066678247880974
auxiliary_verbs,intermediate,0.004413546029399695
auxiliary_verbs,major,0.0035923264779540664
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.054052135759452835
conjunctions,major,-0.02989887537401222
impersonal_pronouns,intermediate,-0.09091011743450768
impersonal_pronouns,major,-0.04401617947658399
impersonal_pronouns,minor,0.0
negations,intermediate,-0.04569783197831978
negations,major,0.03438583574959891
personal_pronouns,intermediate,-0.005649482631189935
personal_pronouns,major,-0.0009938274998067967
personal_pronouns,minor,0.0
prepositions,intermediate,-0.04294193640694171
prepositions,major,0.00919303822489376
quantifiers,intermediate,-0.11141665338222008
quantifiers,major,0.009844024831897438
