family,importance,mean_conv
adverbs,intermediate,-0.019362288038758647
adverbs,major,0.01425936226872421
articles,intermediate,0.10045058427411369
articles,major,0.0415172387263116
auxiliary_verbs,intermediate,-0.008518755577579093
auxiliary_verbs,major,-0.020819974703093526
auxiliary_verbs,minor,0.0
conjunctions,intermediate,-0.013453751065643657
conjunctions,major,2.4804441637184954e-05
impersonal_pronouns,intermediate,-0.06827753945401004
impersonal_pronouns,major,0.06120782067571541
negations,intermediate,-0.06089572192513369
negations,major,0.07365540482757803
personal_pronouns,intermediate,0.018822517351929118
personal_pronouns,major,-0.005506824818759392
personal_pronouns,minor,0.0
prepositions,intermediate,0.07897851059615764
prepositions,major,-0.024982427108802517
prepositions,minor,0.0
quantifiers,intermediate,-0.12193998811645869
quantifiers,major,0.06754211941845358
