family,importance,mean_conv
adverbs,intermediate,0.07993205052028579
adverbs,major,-0.02149857296919955
adverbs,minor,0.0
articles,intermediate,0.03365379718320895
articles,major,-0.07676463634496818
auxiliary_verbs,intermediate,0.04239981004686883
auxiliary_verbs,major,-0.015459464070169475
auxiliary_verbs,minor,0.0
conjunctions,intermediate,-0.06534419828537476
conjunctions,major,0.018739173294387994
impersonal_pronouns,intermediate,-0.08174942704354471
impersonal_pronouns,major,-0.04726159350566096
negations,intermediate,0.05979118920295389
negations,major,-0.0007771713108256489
personal_pronouns,intermediate,0.006292598939657771
personal_pronouns,major,-0.005927509741341222
personal_pronouns,minor,0.0
prepositions,intermediate,0.018245055597996735
prepositions,major,-0.015281758577081616
quantifiers,intermediate,0.0071316884010382275
quantifiers,major,-0.04134988399390744
