pair,adverbs,articles,auxiliary_verbs,conjunctions,impersonal_pronouns,negations,personal_pronouns,prepositions,quantifiers
Caroline Abbott→Mr. Herriton,0.0126830098740211,0.1161616161616161,0.0129186602870814,-0.0079149706015377,0.0757575757575756,0.1037296037296037,0.0046620046620047,0.0181818181818181,0.0060606060606061
Caroline Abbott→Signor Carella,0.0804953560371516,0.2052631578947368,-0.0282651072124756,-0.0456140350877193,0.117408906882591,-0.0870445344129554,0.020242914979757,-0.1345029239766082,0.1770334928229665
Harriet→Mr. Herriton,0.0329004329004329,0.0285714285714285,0.0578754578754578,-0.0600985221674876,0.0428571428571428,-0.0324675324675324,0.0300492610837438,-0.0273291925465838,0.1628571428571428
Lilia→Mr. Herriton,-0.0227272727272727,,,,,,0.0,0.0757575757575756,
Lilia→Signor Carella,,,,,,,0.0274509803921567,,
Mr. Herriton→Caroline Abbott,-0.0222089552238806,0.0101818181818181,0.012,0.0194626865671642,0.0646486486486487,0.016,0.016079207920792,-0.0057931034482758,0.0661960784313725
Mr. Herriton→Harriet,0.0338235294117647,-0.0133689839572193,0.0336601307189542,0.0460030165912518,0.1008403361344537,0.0661764705882352,0.0180995475113121,-0.0764705882352941,0.2005882352941176
Mr. Herriton→Lilia,,,-0.0181818181818181,,-0.0454545454545454,,-0.009090909090909,,
Mr. Herriton→Mrs. Herriton,0.0208333333333333,0.0074074074074074,-0.0144144144144143,0.0705314009661836,-0.0128205128205127,-0.0141414141414141,-0.019047619047619,0.0333333333333333,0.0722222222222223
Mrs. Herriton→Harriet,,-0.0166666666666666,0.0,,,,0.0,0.0166666666666666,
Mrs. Herriton→Mr. Herriton,-0.0105820105820105,-0.0047619047619047,-0.0091575091575091,-0.0047619047619047,0.0361247947454843,0.0322128851540616,-0.0107142857142856,0.0,-0.0119047619047619
Signor Carella→Caroline Abbott,-0.0170940170940171,0.0512820512820512,0.0384615384615384,-0.0802675585284281,0.0364372469635627,0.1041666666666666,0.0119047619047619,-0.0032051282051282,0.0750915750915751
Signor Carella→Lilia,,,-0.0833333333333333,-0.15,,-0.059090909090909,0.0461538461538461,0.0166666666666666,
Signor Carella→Mr. Herriton,,,-0.0303030303030302,,,,0.0999999999999999,,
Signor Carella→Spiridione,0.1142857142857143,,0.0166666666666666,,,,0.1333333333333333,0.1363636363636363,
Spiridione→Signor Carella,0.0549450549450549,0.130952380952381,0.0125313283208019,-0.0439560439560439,0.1212121212121212,,0.0028011204481792,0.261904761904762,
